Temp,DO,pH,BOD,NITRATE_N_NITRITE_N,WQI
24.8,1.4,7.5,38.2,2,13.4335
27.4,5.4,7.7,1,0.1,7.8209
27.7,5.8,7.7,1,0.1,7.9868
28.7,7.1,7.9,3,1.3,9.1428
26.7,6.3,8.2,2.9,0.6,8.49299
27,6.9,7.3,7.3,9.1,10.8082
29.4,6.6,7.7,4.3,1.3,9.3217
26.1,4.4,7.8,3.8,0.5,7.9204
26.2,5.7,7.9,2.2,0.4,8.0158
26.9,6.7,7.7,0.4,0.8,8.1179
25.3,7.2,7.5,1.1,0.3,7.9997
25.8,7.2,7.9,1.4,0.3,8.2144
25.7,7.2,7.9,1.3,0.3,8.1789
25.7,5.5,7.7,2.3,0.3,7.8381
24.7,7.4,7.7,0.7,0.2,7.9018
24.4,8.1,7.7,0.7,0.3,8.0696
24.6,7.5,7.7,1.1,0.3,8.0058
26.8,7.2,7.9,1.9,0.2,8.4595
27.3,6.3,8.1,1.5,0.4,8.2815
27.4,7.2,7.9,1.8,0.3,8.5592
26.8,5.9,8.1,0.9,0.2,7.9363
27.2,6.4,8.1,0.9,0.2,8.1479
13.2,8.9,7.1,0.3,0.3,6.2212
17.2,7.9,7.5,0.6,1.5,6.9428
23.3,7.7,7.7,1.1,0.3,7.8429
23.9,7.5,7.7,1.4,0.3,7.9425
17.4,7.9,7.3,0.7,1.5,6.95804
21.9,8.1,7.6,1.1,0.4,7.7199
22.8,7.9,7.6,1.4,0.3,7.8532
10.5,9.3,6.9,0.2,0.3,5.8243
11.2,9.3,6.9,0.3,0.4,5.9782
12.6,9,7,0.3,0.3,6.13005
23.6,8,7.5,49.1,6.8,18.0211
24.3,1.1,7.4,75.6,0.6,19.9632
20.1,0.8,7.4,24,0,9.4677
26.8,6.4,7.6,2.8,2,8.6458
25.9,7.5,7.8,0.6,0,8.0995
26.9,7.4,8.3,0.7,0,8.3513
27.5,6.7,8.5,3,0,8.7161
24,7.1,8.1,3.2,0,8.2026
26.2,7.3,7.9,2.1,1,8.4444
26.7,1.5,8.2,2.1,5.4,7.7735
26.2,5.6,7.8,0.8,0.6,7.7419
27,7.2,7.9,1.9,1.2,8.6628
27.8,6,7.9,0.8,0.4,8.1122
26.6,5.9,8.4,2,0.6,8.179995
24.7,5.3,8.2,1.3,0.7,7.5863
24.6,8.2,7.5,2,0.9,8.4385
25.5,7.2,7.5,2.1,0,8.1687
26.3,6.7,7.5,2.1,0,8.1599
25.8,5.2,8.2,1,0.6,7.6707
25.4,7.2,7.7,2.6,1.7,8.5701
28,0,7.3,40,45.5,21.2416
27,6.9,8,6.9,1.6,9.4919
26.8,7,7.8,5,1.9,9.1589
26.8,6.5,7.9,3.6,1.9,8.7713
25.6,5.4,8,0.9,0.6,7.6387
26.1,5.2,8.3,0.9,0.5,7.717
24.4,8.1,7.5,1.8,0.8,8.333
26.3,5.4,7.6,5.2,3.3,8.952
23,8.4,7.5,2.1,0.9,8.255
26.8,7.6,8,0.6,0,8.3307
26.8,6.6,7.8,3.9,1.8,8.924
23.9,6.2,7.7,1.2,0.5,7.576
28,5.7,8.1,0.8,0.6,8.144
23.2,2.4,8.2,7.3,0.9,7.658
25.8,5.7,8,0.8,0.5,7.736
25.9,5.6,8,0.9,0.5,7.742
20.8,7.5,7.4,2,0.5,7.518
24.8,6.5,7.3,1.7,0.8,7.884
